Ticker,Price,Drug,Indication,Stage,Date,Catalyst,Shares_Millions
AZTR,$6.48 ,ATR12-351,Netherton Syndrome ,Preclinical,05/10/2024,Preclinical data presented at ASGCT from In vitro data showed that LEKTI (lympho-epithelial Kazal-type-related inhibitor) protein secreted by ATR-12 has nanomolar inhibition of a key protease that dr,3.0
IMMX,$2.18 ,NXC-201 (HBI10101) - (NEXICART-1),relapsed/refractory multiple myeloma and relapsed/refractory AL amyloidosis ,Phase 1/2,05/10/2024,"Phase 1/2 data presented at ASGCT showed a 92% (12/13) overall response rate (ORR) for relapsed/refractory AL Amyloidosis. Best responder duration of response was 28.0 months with response ongoing, no",28.0
PLX,$1.10 ,PRX-115,Severe Gout ,Phase 1,05/10/2024,"Phase 1 initial data from the seven cohorts, and following the review and acceptance of the safety data from cohort 7 by the safety and monitoring committee for dose escalation for the FIH Study, the",79.0
MGNX,$3.31 ,MGC018 - (TAMARACK),Metastatic castration-resistant prostate cancer (mCRPC) ,Phase 2,05/10/2024,"Phase 2 interim data showed PSA50 responses 43.9%/36.6%, ORR 17.8%/25% confirmed. Unfortunately, 5 deaths were found: 1 unrelated, 2 pneumonitis under investigation., noted May 10, 2024",63.0
BMY,$44.27 ,Opdivo (nivolumab) + Yervoy (ipilimumab) versus CCRT - (CheckMate-73L),Stage III non-small cell lung cancer (NSCLC) ,Phase 3,05/10/2024,"Phase 3 CheckMate -73L trial did not meet its primary endpoint of progression-free survival (PFS), noted May 10, 2024.",
ACET,$1.47 ,ADI-270,"Solid tumors CAR T, relapsed/refractory renal cell carcinoma (RCC) ",Preclinical,05/10/2024,"Preclinical data featured at ASGCT data reported robust efficacy maintained across multiple relevant tumor models of varying stringency, noted May 10, 2024.",83.0
MRK,$127.68 ,KEYTRUDA (KeyVibe-010),Resected high-risk melanoma (Stage IIB-IV) ,Phase 3,05/13/2024,Phase 3 pre-planned analysis data showed that the primary endpoint of recurrence-free survival (RFS) met the pre-specified futility criteria. A higher rate of discontinuation of all adjuvant therapy b,
VALN,$7.61 ,VLA1553-321 - (Adolescents trial),Chikungunya Vaccine for adolecents ,Phase 3,05/13/2024,"Phase 3 day 180 results confirm the initial positive immunogenicity and safety data Valneva reported previously, noted May 13, 2024.",81.0
MRUS,$45.85 ,Petosemtamab (MCLA-158),"Recurrent/metastatic (r/m) head and neck squamous cell carcinoma (HNSCC), Solid Tumors ",Phase 2,05/13/2024,"FDA Granted Breakthrough Therapy Designation (BTD) on May 13, 2024.",75.0
GMAB,—,Petosemtamab (MCLA-158),"Recurrent/metastatic (r/m) head and neck squamous cell carcinoma (HNSCC), Solid Tumors ",Phase 2,05/13/2024,"FDA Granted Breakthrough Therapy Designation (BTD) on May 13, 2024.",661.0
INAB,$1.02 ,INB-200,Glioblastoma ,Phase 1,05/13/2024,"Phase 1 data presented at ASGCT data provide additional insight into the complex gene-expression changes that occur throughout the manufacturing of our gamma-delta T cell products, which demonstrate a",4.0
CYTK,$57.89 ,Aficamten (CK-274) - (SEQUOIA-HCM),Hypertrophic cardiomyopathy (HCM) ,Phase 3,05/13/2024,"Phase 3 full results due presented at Heart Failure showed that treatment with aficamten for 24 weeks significantly improved exercise capacity compared to placebo, noted May 13, 2024.",119.0
EWTX,$17.48 ,Sevasemten (EDG-5506) - (CANYON),Becker Muscular Dystrophy (BMD) ,Phase 2,05/13/2024,"Phase 2 trial met primary endpoint, noted May 13, 2024.",105.0
PLRX,$14.14 ,Bexotegrast (PLN-74809) - (INTEGRIS-IPF),Idiopathic pulmonary fibrosis (IFP) ,Phase 2a,05/14/2024,"Phase 2a 12-week post-hoc analysis reported that bexotegrast-treated patients showed a reduction in SUV in the lung compared to an increase seen in placebo, noted May 14, 2024.",61.0
HCM,$21.40 ,SULANDA (surufatinib),Metastatic pancreatic ductal adenocarcinoma (PDAC) in China ,Phase 2/3,05/14/2024,"Phase 2/3 study initiated in China, noted May 14, 2024.",174.0
KOD,$3.84 ,Tarcocimab tedromer (KSI-301) - (GLOW2),Non-proliferative diabetic retinopathy ,Phase 3,05/14/2024,"Phase GLOW2 dosing initiated, noted May 14, 2024.",52.0
HCM,$21.40 ,HMPL-306 - (RAPHAEL),Relapsed / refractory acute myeloid leukemia (AML) ,Phase 3,05/14/2024,"Phase 3 initiated, noted May 14, 2024.",174.0
DVAX,$11.00 ,HEPLISAV-B,End Stage Renal Disease on Dialysis undergoing hemodialysis ,CRL,05/14/2024,"CRL announced May 14, 2024.",117.0
NNVC,$2.26 ,NV-CoV-2 (NV-387),"RSV (Respiratory Syncytial Virus), Coronavirus, Smallpox/Mpox related Ectromelia virus infection ",Preclinical,05/14/2024,"Preclinical antiviral activity study resulted in full survival of lethally infected animals was achieved, noted May 14, 2024.",17.0
NMRA,$9.58 ,Navacaprant (NMRA-140),Bipolar Depression ,Phase 2,05/14/2024,"Phase 2 initiated, noted May 14, 2024.",161.0
EQ,$1.54 ,Itolizumab - (EQUATOR),1st line Acute graft-versus-host disease (aGVHD) ,Phase 3,05/14/2024,"Phase 3 enrollment target surpassed, noted May 14, 2024.",59.0
ATYR,$1.82 ,Efzofitimod - (EFZO-FIT),Pulmonary sarcoidosis ,Phase 3,05/14/2024,"Second DSMB recommended that the ongoing Phase 3 study could continue without any modifications after a second pre-planned, interim analysis, noted May 14, 2024.",97.0
GNPX,$2.57 ,REQORSA Immunogene Therapy (quratusugene ozeplasmid) - (Acclaim-3),Extensive-stage small cell lung cancer (ES-SCLC) ,Phase 1/2,05/14/2024,"Phase 1/2 trial dosing initiated, noted May 14, 2024.",
CRIS,$15.69 ,CA-4948 - (TakeAim Lymphoma),Relapsed or Refractory Non-Hodgkin Lymphoma ,Phase 2,05/14/2024,"Phase 2 data reported that 3 of 3 patients who were naïve to FLT3i treatment achieved objective response (2 CR, 1 MLFS), noted May 14, 2024.",12.0
KYMR,$35.09 ,KT-333,Cutaneous T-cell lymphoma (CTCL) ,Phase 1a,05/14/2024,"Phase 1a data reported two complete responses in two cHL patients at DL4, three partial responses in CTCL patients at DL2, 4 and 5, and stable disease in four solid tumor patients at DL3-4, noted May",71.0
TFFP,$2.01 ,TFF TAC (Tacrolimus Inhalation Powder),Lung transplant (post) ,Phase 2,05/15/2024,"Phase 2 additional data showed that patient enrollment has accelerated to now 10 patients, 6/6 who completed 12-week tratemetn chosen to remain on TFF TAC, 1 patient has been treated for over a year a",4.0
VNDA,$5.36 ,Tradipitant - (Motion Serifos),Motion sickness ,Phase 3,05/15/2024,"Phase 3 trial conducted in real-world conditions on boats in U.S. coastal waters, both the 170 mg and 85 mg doses of tradipitant demonstrated superiority over placebo in preventing vomiting, noted May",59.0
THRD,$12.92 ,THB335,Mast cell-mediated inflammatory diseases ,IND-Enabling,05/15/2024,IND was cleared by the FDA during 2Q 2024.,45.0
SGMT,$4.62 ,Denifanstat (PK Study),Metabolic dysfunction-associated steatohepatitis (MASH) ,Phase 1,05/15/2024,"Phase 1 data reported that denifanstat was well-tolerated and no safety signals were reported, noted May 15, 2024.",32.0
IMMP,$2.82 ,Eftilagimod Alpha with weekly paclitaxel - (AIPAC-003),Metastatic breast cancer (MBC) ,Phase 2/3,05/15/2024,"Phase 2/3 data reported an 50% overall response rate, including one complete response and two partial responses, and a 100% disease control rate, with three patients having stable disease as best over",145.0
OLMA,$9.85 ,Palazestrant (OP-1250) and ribociclib - (OPERA-02),Breast Cancer ,Phase 1/2,05/15/2024,Phase 1b/2 data to be shared at ESMO Breast Cancer showed that treatment was well tolerated with no new safety signals or increased toxicity and no clinically meaningful impact on drug exposure of eit,68.0
ACXP,$2.25 ,Ibezapolstat,C. difficile Infection ,Phase 2b,05/15/2024,"Phase 3 agreement with the FDA after EoP2 meeting, noted May 15, 2024.",1.0
BCAB,$3.00 ,Ozuriftamab Vedotin (BA3021),"Solid Tumors, Non-small cell lung cancer (NSCLC), recurrent or metastatic squamous cell carcinoma of the head and neck (R/M SCCHN) ",Phase 2,05/15/2024,"Phase 2 data reported 11 responses at the combined 2Q3W and Q2W dose regimens (5 confirmed, including 1 complete response), noted May 15, 2024.",58.0
BCDA,$6.00 ,BCDA-03,Ischemic heart failure ,Phase 1/2,05/15/2024,"Phase 1/2 data reported that treatment-emergent adverse events, arrhythmias, rejection, or allergic response have been observed, noted May 15, 2024.",5.0
PHIO,$7.20 ,PH-762 (direct drug therapy),Melanoma ,Phase 1b,05/15/2024,"Phase 1b dosing of the first cohort of patients was completed and screening for the next dose cohort is on-going, noted May 15, 2024",5.0
AXGN,$5.95 ,Avance Nerve Graf - (RECON),Severed peripheral nerves ,BLA Filing,05/15/2024,"BLA submitted on May 15, 2024.",46.0
LLY,$770.05 ,Insulin efsitora alfa (efsitora) - (QWINT-2 and QWINT-4),Type 2 diabetes ,Phase 3,05/16/2024,"Phase 3 data reported that trials met their primary endpoints, noted May 16, 2024.",946.0
PFE,$28.53 ,ARV-471 with IBRANCE (palbociclib) - (TACTIVE-N),ER+ positive / HER2- negative breast cancer ,Phase 1b,05/16/2024,"Phase 1b data reported a clinical benefit rate (63%), overall response rate (41.9%), median progression-free survival (11.2 months), noted May 16, 2024.",
ARVN,$32.11 ,ARV-471 with IBRANCE (palbociclib) - (TACTIVE-N),ER+ positive / HER2- negative breast cancer ,Phase 1b,05/16/2024,"Phase 1b data reported a clinical benefit rate (63%), overall response rate (41.9%), median progression-free survival (11.2 months), noted May 16, 2024.",73.0
AZN,$76.57 ,Sipavibart (AZD3152) - (SUPERNOVA),COVID‑19 ,Phase 3,05/16/2024,"Phase 3 data reported that the trial met both dual primary endpoints, noted May 16, 2024.",
RHHBY,$32.65 ,CT-388,Obesity and type 2 diabetes ,Phase 1b,05/16/2024,"Phase 1b data reported significant weight loss in healthy adults with obesity compared to placebo, noted May 16, 2024.",
BIIB,$230.04 ,ION582 (BIIB121) - (HALOS),Angelman Syndrome ,Phase 1/2,05/16/2024,"Phase 1b/2 enrollment completed, noted November 2, 2023. Phase 1b datademonstrated consistent improvements across multiple functional domains, noted May 16, 2024.",146.0
IONS,$37.62 ,ION582 (BIIB121) - (HALOS),Angelman Syndrome ,Phase 1/2,05/16/2024,"Phase 1b/2 enrollment completed, noted November 2, 2023. Phase 1b datademonstrated consistent improvements across multiple functional domains, noted May 16, 2024.",159.0
TRML,$15.00 ,TOUR006 - (TRANQUILITY),Atherosclerotic cardiovascular disease (ASCVD) ,Phase 2,05/16/2024,"Phase 2 dosing initiated, noted May 16, 2024.",25.0
BIIB,$230.04 ,BIIB105 (ATXN2 ASO) - (ALSpire),Amyotrophic Lateral Sclerosis (ALS) ,Phase 1/2,05/16/2024,"Phase 1/2 topline data reported that treatment did not result in a reduction in levels of plasma neurofilament light chain (NfL), a marker of neurodegeneration and neuronal damage, noted May 16, 2024.",146.0
IONS,$37.62 ,BIIB105 (ATXN2 ASO) - (ALSpire),Amyotrophic Lateral Sclerosis (ALS) ,Phase 1/2,05/16/2024,"Phase 1/2 topline data reported that treatment did not result in a reduction in levels of plasma neurofilament light chain (NfL), a marker of neurodegeneration and neuronal damage, noted May 16, 2024.",159.0
ASND,$122.80 ,Breyanzi (lisocabtagene maraleucel) - (TRANSCEND FL),Follicular lymphoma ,Approved,05/16/2024,"Approved May 16, 2024.",60.0
BMY,$42.97 ,Breyanzi (lisocabtagene maraleucel) - (TRANSCEND FL),Follicular lymphoma ,Approved,05/16/2024,"Approved May 16, 2024.",
PHIO,$6.59 ,PH-762,Cutaneous Squamous Cell Carcinoma ,Phase 1b,05/16/2024,"Phase 1b data reported that treatment was well tolerated at the maximum administered dose and treatment with mPH-762 provided robust inhibition of tumor growth, noted May 16, 2024.",5.0
MLTX,$40.86 ,Nanobody (sonelokimab) - (VELA),Hidradenitis suppurativa ,Phase 3,05/16/2024,"Phase 3 trial VELA initiated, noted May 16, 2024.",64.0
ATXI,$3.63 ,AJ201,Spinal and bulbar muscular atrophy (SBMA) ,Phase 1/2,05/16/2024,"Phase 1b/2 last patient dosed completed, noted May 16, 2024.",3.0
IVA,$3.65 ,Lanifibranor - (NATiV3),Nonalcoholic steatohepatitis (NASH) ,Phase 3,05/16/2024,"Positive recommendation from DMC on May 16, 2024.",95.0
AMGN,$310.30 ,IMDELLTRA (tarlatamab-dlle),Extensive-stage small cell lung cancer (ES-SCLC) ,Approved,05/17/2024,"Approved May 17, 2024.",538.0
MRNS,$1.33 ,Ganaxolone - (TrustTSC),Tuberous Sclerosis Complex ,Phase 3,05/17/2024,"Phase 3 enrollment completed, noted May 17, 2024.",55.0
AZTR,$5.46 ,ATR04-484,EGFRi-associated rash ,Preclinical,05/17/2024,"Preclinical data reported that treatment reduced IL-36g, a pro-inflammatory cytokine that drives inflammation in EGFRi-induced toxicity, in human skin model by 75% compared to erlotinib-treated skin,",3.0
LEXX,$3.15 ,DehydraTECH-powered GLP-1 drugs (semaglutide) - (WEIGHT-A24-1),Diabetes ,Preclinical,05/17/2024,"Preclinical trial initiated, noted May 17, 2024.",19.0
ARWR,$24.77 ,Plozasiran (ARO-APOC3) - (CAPITAN),Mixed hyperlipidemia ,Phase 2b,05/18/2024,"Phase 2b data reported that treatment significantly reduced triglycerides and atherogenic triglyceride rich lipoproteins and increased HDL, across all dose levels at Week 24 in patients with mixed dys",138.0
NNVC,$2.12 ,NV-CoV-2 (NV-387),"RSV (Respiratory Syncytial Virus), Coronavirus, Smallpox/Mpox related Ectromelia virus infection ",Preclinical,05/20/2024,"Preclinical data reported that NV-387 against RSV/A2 is clearly demonstrated by lungs remaining normal and showing no infection-related damage, when treated orally with NV-387, in a lethal lung RSV in",17.0
DYN,$35.38 ,DYNE-101 - (ACHIEVE),Myotonic Dystrophy Type 1 (DM1) ,Phase 1/2,05/20/2024,"Phase 1/2 data reported that patients in the 5.4 mg/kg Q8W cohort had a 27% mean splicing correction from baseline across a broad, 22-gene panel at 3 months, with all participants demonstrating splici",142.0
DYN,$35.38 ,DYNE-251 - (DELIVER),Duchenne muscular dystrophy (DMD) ,Phase 1/2,05/20/2024,"Phase 1/2 data reported that patients treated with 10 mg/kg of DYNE-251 Q4W had a mean absolute dystrophin level of 3.22% of normal and a 2.97% change, noted May 20, 2024.",142.0
BCLI,$8.51 ,NurOwn,Amytrophic lateral sclerosis (ALS) ,Phase 3,05/20/2024,"Phase 3 data reported a 4% decrease from baseline in NfL in Phase 3 and a 27% and 36% decrease from baseline, at the ends of Period 1 and Period 2 of the EAP, respectively, noted May 20, 2024.",10.0
PLUR,$6.05 ,NurOwn,Amytrophic lateral sclerosis (ALS) ,Phase 3,05/20/2024,"Phase 3 data reported a 4% decrease from baseline in NfL in Phase 3 and a 27% and 36% decrease from baseline, at the ends of Period 1 and Period 2 of the EAP, respectively, noted May 20, 2024.",8.0
ESPR,$2.48 ,Bempedoic acid - (Japan trial),Hypercholesterolemia ,Phase 3,05/20/2024,"Phase 3 data reported that the percentage change from baseline in LDL-C at Week 12, the primary endpoint, was -25.25%% in the group receiving bempedoic acid placebo group and -3.46% in the placebo gro",201.0
ARWR,$24.82 ,ARO-RAGE-1001,Asthma ,Phase 1/2,05/20/2024,"Phase 1/2a trial data presented at ATS reported that after two doses of ARO-RAGE in patients with mild to moderate asthma, serum sRAGE was reduced up to 88% with a mean maximum reduction up to 77%, no",138.0
AMGN,$312.35 ,TEZSPIRE (tezepelumab-ekko) - (COURSE),Chronic obstructive pulmonary disease (COPD) ,Phase 2,05/20/2024,"Phase 2 data presented at ATS reported that a 17% numerical reduction in the annual rate of moderate or severe COPD exacerbations compared to placebo at week 52, which was not statistically significan",538.0
GILD,$66.49 ,Livdelzi (Seladelpar) - (ASSURE),Pruritus (itch) in people living with primary biliary cholangitis (PBC) ,Phase 3,05/20/2024,"Phase 3 data reported that 70% of patients achieved the composite response endpoint and 25% experienced ALP normalization, noted May 20, 2024.",
SONN,$13.92 ,SON-1010 with Trabectedin - (SB101),Solid tumors ,Phase 1,05/20/2024,"Additional safety data reported a 10-fold extended half-life for SON-1010 compared with rhIL-12 that induces prolonged and controlled IFNγ responses, with no evidence of cytokine release syndrome at a",6.0
RHHBY,$32.77 ,SON-1010 in combination with atezolizumab - (SB221),Platinum-resistant ovarian cancer ,Phase 1/2,05/20/2024,Phase 1b/2 data reported that one patient in Part 1 of SB221 with uterine sarcomas received 8 cycles of the SON-1010/atezolizumab combination therapy every 3 weeks before progressing; another two have,
SONN,$13.92 ,SON-1010 in combination with atezolizumab - (SB221),Platinum-resistant ovarian cancer ,Phase 1/2,05/20/2024,Phase 1b/2 data reported that one patient in Part 1 of SB221 with uterine sarcomas received 8 cycles of the SON-1010/atezolizumab combination therapy every 3 weeks before progressing; another two have,6.0
GRI,$5.59 ,GRI-0621,Idiopathic pulmonary fibrosis (IPF) ,Preclinical,05/20/2024,"Preclinical data reported that GRI-0621 was shown to reduce the fibrotic score, inhibit the production of TGFβ and VCAM-1 and reduce the immune cell, noted May 20, 2024.",2.0
KRRO,$54.60 ,KRRO-110 - (REWRITE),Alpha-1 Antitrypsin Deficiency (AATD) ,Preclinical,05/20/2024,Preclinical data presented at ATS showed sustained editing efficiency of approximately 60% and increased total alpha-1 antitrypsin (AAT) protein levels to greater than 60uM at week 13 in an in vivo ge,9.0
LRMR,$7.27 ,Nomlabofusp (CTI-1601),Friedreich’s ataxia (FA) ,Phase 2,05/20/2024,"Phase 2 clinical hold removed, noted May 20, 2024.",85.0
VTVT,$28.21 ,Azeliragon,Refractory to first-line treatment of metastatic pancreatic cancer ,Phase 1/2,05/20/2024,"Phase 1/2 Orphan Drug Designation granted by the FDA on May 20, 2024.",3.0
ARCT,$30.50 ,Kostaive (ARCT-154),COVID-19 variant vaccine ,Phase 1/2,05/20/2024,"Phase 1/2 additional results demonstrate that two 5 μg doses of ARCT-154, sa-mRNA vaccine, were well-tolerated, immunogenic and provided significant protection against multiple strains of COVID-19, no",27.0
CSLLY,$92.08 ,Kostaive (ARCT-154),COVID-19 variant vaccine ,Phase 1/2,05/20/2024,"Phase 1/2 additional results demonstrate that two 5 μg doses of ARCT-154, sa-mRNA vaccine, were well-tolerated, immunogenic and provided significant protection against multiple strains of COVID-19, no",968.0
GLUE,$4.30 ,MRT-6160,Autoimmune conditions ,Preclinical,05/21/2024,"Preclinical data reported that MRT-6160-mediated murine (m)VAV1 degradation prevented disease progression by 85% compared to vehicle (P<0.0001), and also reduced the disease activity index (DAI) score",61.0
IRWD,$6.78 ,Apraglutide - (STARS),Short Bowel Syndrome with Intestinal Failure (SBS-IF) ,Phase 3,05/21/2024,"Additional Phase 3 data to be presented at the Digestive Disease Week reported that significantly more apraglutide-patients gained additional days off from PS per week at week 24 versus placebo, noted",162.0
GILD,$65.89 ,Depemokimab - (SWIFT-1 and SWIFT-2),Severe asthma with type 2 inflammation characterised by blood eosinophil count ,Phase 3,05/21/2024,"Phase 3 data reported that both trials met its primary endpoints, noted May 21, 2024.",
CTXR,$0.73 ,Mino-Lok,Catheter related blood stream infection (CRBSI) ,Phase 3,05/21/2024,"Phase 3 topline data study met its primary endpoint with a statistically significant improvement in the time to failure event, noted May 21, 2024.",17.0
PRTC,$29.50 ,VE303 - (RESTORATiVE303),Clostridioides difficile infection (CDI) ,Phase 3,05/21/2024,"Phase 3 dosing initiated, noted May 21, 2024.",24.0
ASLN,$3.84 ,eblasakimab versus dupilumab,human tissue model of chronic obstructive pulmonary disease (COPD) ,Preclinical,05/21/2024,"Preclinical data presented at American Thoracic Society results support further investigation of eblasakimab as a potential therapeutic option for COPD, noted May 20, 2024.",2.0
ONVO,$1.03 ,FXR314 with Tofacitinib,Inflammatory Bowel Disease ,Preclinical,05/21/2024,"Preclinical data reported that FXR314 alone improved measures of colon health and colon histopathology similarly to approved IBD therapies tofacitinib and IL-12/23 antagonist, noted May 21, 2024.",1.0
PALI,$5.41 ,PALI-2108,Moderate-to-severe ulcerative colitis (UC) ,Preclinical,05/21/2024,"Preclinical data presented at DDW exhibited a dose-dependent efficacy response in two DSS colitis mouse models, achieving efficacy comparable to doses of apremilast considered intolerable for human us",9.0
GRI,$5.39 ,GRI-0124,Systemic Lupus Erythematosus (SLE) ,Preclinical,05/21/2024,"Preclinical data reported that it inhibited pro-inflammatory cytokines and signaling pathways in NZBWF1 mice, noted May 21, 2024.",2.0
GRI,$5.39 ,GRI-0803,Systemic lupus erythematosus (SLE) ,Preclinical,05/21/2024,"Preclinical data reported favorable solubility profile, and an excellent bioavailability, noted May 21, 2024.",2.0
BDRX,$58.25 ,"eRapa (rapamycin, sirolimus) - (Serenta)",Familial Adenomatous Polyposis (FAP) ,Phase 2,05/21/2024,"Phase 2 results presented at DDW showed an 83% non-progression rate at 6 months and a statistically significant decrease in overall mean polyp burden at 6 months, noted May 21, 2024.",
BHC,—,larsucosterol (DUR-928) - (AHFIRM),Alcoholic hepatitis (AH) ,Phase 2b,05/21/2024,"Breakthrough Therapy designation (BTD) granted by the FDA, noted May 21, 2024.",369.0
LLY,$802.05 ,Mirikizumab - (VIVID-1),Crohn's disease ,Phase 3,05/21/2024,"Phase 3 data showed that nearly one-half of patients on mirikizumab achieved endoscopic response at 52 weeks; most of these patients were also in clinical remission, noted May 21, 2024.",946.0
XOMA,$25.90 ,RZ402,Diabetic macular edema (DME) ,Phase 2,05/21/2024,"Phase 2 study met its primary endpoint, noted May 21, 2024.",12.0
RZLT,$3.00 ,RZ402,Diabetic macular edema (DME) ,Phase 2,05/21/2024,"Phase 2 study met its primary endpoint, noted May 21, 2024.",90.0
LIPO,$0.73 ,LP-10 (liposomal tacrolimus),Hemorrhagic cystitis ,Phase 2b,05/21/2024,"Phase 2b type C meeting with the FDA resulted in a preliminary agreement to proceed to Phase 2b expected to initiated in 2H 2024, noted May 21, 2024.",4.0
ALGS,$15.96 ,ALG-055009 - (HERALD),Metabolic dysfunction-associated steatohepatitis (MASH) ,Phase 2a,05/21/2024,"Phase 2a enrollment completed, noted May 21, 2024",6.0
SANA,$8.30 ,SC379,Secondary progressive multiple sclerosis ,Preclinical,05/21/2024,"Preclinical data published in a paper showed that when healthy wild-type (WT), pluripotent stem cell-derived glial progenitor cells (hGPCs) – the cells that give rise to the glial support cells of the",237.0
IFRX,$1.52 ,Gohibic (vilobelimab) - (PANAMO),COVID-19 ,Phase 3,05/21/2024,"Phase 3 data shared at ATS 2024 showed that co-administration of vilobelimab with baricitinib or tocilizumab was not associated with safety concerns, noted May 21, 2024.",59.0
JBIO,—,AV-101 - (IMPAHCT),Pulmonary arterial hypertension (PAH) ,Phase 2b,05/21/2024,Phase 2b portion of study outcomes shared at the ATS conference showed that baseline characteristics reflect a patient population with significant disease despite treatment with two to three targeted,32.0
RVPH,$1.31 ,Brilaroxazine,Idiopathic pulmonary fibrosis (IPF) ,Preclinical,05/21/2024,"Preclinical data shared at ATS reported that interactions with multiple 5-HT targets, particularly 5-HT2B/7 receptors, within the pulmonary tissue, provide an underlying basis for this agent's effecti",68.0
LYRA,$0.36 ,LYR-220 - (BEACON),Chronic rhinosinusitis ,Phase 2,05/21/2024,"Development paused, noted May 21, 2024.",1.0
AMPH,$43.46 ,Albuterol Sulfate Inhalation Aerosol (AMP-008),Bronchospasm ,Approved,05/22/2024,"Approved May 22, 2024.",46.0
PLRX,$14.18 ,Bexotegrast (PLN-74809) - (INTEGRIS-IPF),Idiopathic pulmonary fibrosis (IFP) ,Phase 2a,05/22/2024,Phase 2a data reported that seven previously identified plasma biomarkers of interstitial lung disease (ILD) progression were significantly modulated in participants with IPF receiving bexotegrast ove,61.0
RNAC,$25.46 ,Descartes-08 - (AURORA),"Generalized myasthenia gravis (MG), Multiple Myeloma and Autoimmune Diseases ",Phase 2b,05/22/2024,"Regenerative Medicine Advanced Therapy (RMAT) granted by the FDA, noted May 22, 2024.",26.0
INKT,$1.00 ,AGENT-797,Acute respiratory distress (ARDS) secondary to COVID-19 ,Phase 1/2,05/22/2024,"Phase 1/2 data reported that allogeneic iNKT therapy was safely administered with rapid decrease in IL-18 and other inflammatory cytokines, noted May 22, 2024.",4.0
SRRK,$11.71 ,SRK-439 with apitegromab - (EMBRAZE),Obesity ,Phase 2,05/22/2024,"Phase 2 trial initiated, noted May 22, 2024.",96.0
ABUS,$3.41 ,Imdusiran (AB-729 and VTP-300 with nivolumab) - (IM-PROVE I),Hepatitis B (HBV) ,Phase 2a,05/22/2024,"Phase 2a key findings noting that VTP-300 in combination with nivolumab has been generally well tolerated, with no observed treatment-related serious adverse events, and contributed to declines in hep",191.0
BRNS,$2.30 ,Imdusiran (AB-729 and VTP-300 with nivolumab) - (IM-PROVE I),Hepatitis B (HBV) ,Phase 2a,05/22/2024,"Phase 2a key findings noting that VTP-300 in combination with nivolumab has been generally well tolerated, with no observed treatment-related serious adverse events, and contributed to declines in hep",40.0
CLYD,—,Imdusiran (AB-729 and VTP-300 with nivolumab) - (IM-PROVE I),Hepatitis B (HBV) ,Phase 2a,05/22/2024,"Phase 2a key findings noting that VTP-300 in combination with nivolumab has been generally well tolerated, with no observed treatment-related serious adverse events, and contributed to declines in hep",
INDP,$2.48 ,Decoy 20,Solid tumors ,Phase 1a,05/22/2024,"Phase 1a first-in-human trial confirms ""Pulse-Prime"" hypothesis targeting stimulation of innate and adaptive immune systems, this data to be presented at ASCO 24, noted May 22, 2024.",1.0
BIVI,$4.84 ,Bezisterim (NE3107) - (Biomarker Trial),Alzheimer's disease ,Phase 2a,05/22/2024,Phase 2a full dataset presented at IAPRD suggest patients treated with bezisterim experienced significant improvements in both non-motor symptoms and motor control while placebo-treated patients worse,7.0
ANL,$12.75 ,Palupiprant (AN0025) + Keytruda - (ARTEMIS),"TNBC, NSCLC, bladder cancer, microsatellite stable CRC and cervical cancer ",Phase 2,05/22/2024,"Phase 2 trial initiated, noted May 22, 2024.",36.0
PTIX,$1.80 ,PT00114,Major Depressive Disorder (MDD) / Generalized Anxiety Disorder (GAD) / Post-Traumatic Stress Disorder (PTSD) ,Phase 1/2,05/22/2024,"Phase 1/2a safety data demonstrated no clinically relevant Adverse Events Reported in the single-dose portion, with the multiple-dose portion to commence, noted May 22, 2024.",
KYMR,$35.70 ,KT-621 (STAT6),Type 2 inflammation in allergic diseases ,Preclinical,05/22/2024,"Preclinical data reported that KT-621 was comparable to a saturating dose of the IL-4Rα antibody, dupilumab, in an asthma efficacy model which demonstrated that KT-621 robustly inhibited all the teste",71.0
CNTB,$1.68 ,Rademikibart - (Seabreeze STAT Asthma),Asthma ,Phase 2b,05/22/2024,"Phase 2b data presented at ATS showed that treatment significantly improved lung function at Week 12; improvements were observed as early as Week 1 and sustained through Week 24, noted May 22, 2024.",55.0
TNGX,$7.09 ,TNG348,"BRCA1/2-Mutant and Other HRD+ Cancers, Solid Tumors ",Phase 1/2,05/23/2024,"Phase 1/2 first patient dosed January 3, 2024. Phase 1/2 discontinued due to toxicity observed in the initial study cohorts. No patient had yet received a combination of TNG348 and olaparib., noted Ma",111.0
CYTO,$1.71 ,Bentrio (AM-301) - (NASAR),Seasonal allergic rhinitis (SAR) ,Phase 1,05/23/2024,"Phase 1 data published at in video format showed that the study met its primary efficacy endpoint, showing a statistically significant reduction in the mean daily reflective Total Nasal Symptom Score",4.0
NNVC,$2.23 ,NV-CoV-2 (NV-387),"RSV (Respiratory Syncytial Virus), Coronavirus, Smallpox/Mpox related Ectromelia virus infection ",Phase 1b,05/23/2024,"Phase 1b trial completed, the company also engaged with Aagami, Inc for partnership developments and licensing opportunities, noted May 23, 2024.",17.0
EVGN,$7.20 ,BMC128 with Opdivo,"Non-small cell lung cancer (NSCLC), melanoma or renal cell carcinoma ",Phase 1,05/23/2024,"Phase 1 data from ASCO abstract reported that one patient demonstrated partial response (PR) upon imaging and RECIST v1.1 assessment and remains actively responding to treatment. Additionally, 64% of",6.0
